Compound,Compound name,Compound aliases,Chemical class,Core level,Binding energy (eV),Uncertainty (eV),Peak assignment,Reference,DOI,Calibration
VC-Polymer,Poly(vinylene carbonate),Poly-VC; Poly(VC); poly(vinylene carbonate),carbonate; polymer,O 1s,533.0,0.15,C=O,4,10.1149/1.3029674,C 1s (C-C/C-H) = 285.0 eV
VC-Polymer,Poly(vinylene carbonate),Poly-VC; Poly(VC); poly(vinylene carbonate),carbonate; polymer,O 1s,534.7,0.15,ring CO,4,10.1149/1.3029674,C 1s (C-C/C-H) = 285.0 eV
Na2CO3,Sodium carbonate,,alkali; carbonate,Na 2s,63.0,0.1,Na⁺,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
NaHCO3,sodium hydrogen carbonate,SODIUM BICARBONATE; Sodium hydrogen carbonate; Baking soda; Sodium hydrogencarbonate; Bicarbonate of soda,alkali; carbonate,C 1s,289.9,0.1,C(OH)O₂⁻,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
NaHCO3,sodium hydrogen carbonate,SODIUM BICARBONATE; Sodium hydrogen carbonate; Baking soda; Sodium hydrogencarbonate; Bicarbonate of soda,alkali; carbonate,O 1s,531.6,0.1,CO₂⁻,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
NaHCO3,sodium hydrogen carbonate,SODIUM BICARBONATE; Sodium hydrogen carbonate; Baking soda; Sodium hydrogencarbonate; Bicarbonate of soda,alkali; carbonate,O 1s,532.9,0.1,COH,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
NaHCO3,sodium hydrogen carbonate,SODIUM BICARBONATE; Sodium hydrogen carbonate; Baking soda; Sodium hydrogencarbonate; Bicarbonate of soda,alkali; carbonate,Na 1s,1071.2,0.1,Na⁺,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
NaHCO3,sodium hydrogen carbonate,SODIUM BICARBONATE; Sodium hydrogen carbonate; Baking soda; Sodium hydrogencarbonate; Bicarbonate of soda,alkali; carbonate,Na 2s,63.2,0.1,Na⁺,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
KHCO3,potassium hydrogen carbonate,"Potassium bicarbonate; Potassium hydrogen carbonate; Potassium hydrogencarbonate; Monopotassium carbonate; CARBONIC ACID, MONOPOTASSIUM SALT",alkali; carbonate,C 1s,289.9,0.1,C(OH)O₂⁻,5; 22; 23,10.2478/BF02475578; 10.1039/D6LF00207B; 10.1021/acsami.4c17461,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
KHCO3,potassium hydrogen carbonate,"Potassium bicarbonate; Potassium hydrogen carbonate; Potassium hydrogencarbonate; Monopotassium carbonate; CARBONIC ACID, MONOPOTASSIUM SALT",alkali; carbonate,O 1s,531.3,0.4,CO₂⁻,5; 22; 23,10.2478/BF02475578; 10.1039/D6LF00207B; 10.1021/acsami.4c17461,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
KHCO3,potassium hydrogen carbonate,"Potassium bicarbonate; Potassium hydrogen carbonate; Potassium hydrogencarbonate; Monopotassium carbonate; CARBONIC ACID, MONOPOTASSIUM SALT",alkali; carbonate,O 1s,532.9,0.2,COH,5; 22; 23,10.2478/BF02475578; 10.1039/D6LF00207B; 10.1021/acsami.4c17461,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
KHCO3,potassium hydrogen carbonate,"Potassium bicarbonate; Potassium hydrogen carbonate; Potassium hydrogencarbonate; Monopotassium carbonate; CARBONIC ACID, MONOPOTASSIUM SALT",alkali; carbonate,K 2p3/2,292.8,0.2,K⁺,5; 22; 23,10.2478/BF02475578; 10.1039/D6LF00207B; 10.1021/acsami.4c17461,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
Rb2CO3,bis(rubidium(1+));carbonate,"Rubidium carbonate; Dirubidium carbonate; Dirubidium monocarbonate; CARBONIC ACID, DIRUBIDIUM SALT; Carbonic acid, rubidium salt (1:2)",alkali; carbonate,C 1s,288.4,0.1,CO₃²⁻,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
Rb2CO3,bis(rubidium(1+));carbonate,"Rubidium carbonate; Dirubidium carbonate; Dirubidium monocarbonate; CARBONIC ACID, DIRUBIDIUM SALT; Carbonic acid, rubidium salt (1:2)",alkali; carbonate,O 1s,530.1,0.1,CO₃²⁻,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
